24726,Мирный,62.53,113.87,351,14
24738,Сунтар,62.17,117.63,130,14
24763,Крест-Хальджай,62.8,134.48,130,14
24790,Сусуман,62.78,148.17,646,49
24802,Стрелка Чуня,61.75,102.8,357,24
24817,Ербогачён,61.27,108.02,284,38
24908,Ванавара,60.33,102.3,259,24
24923,Ленск,60.73,114.83,238,14
24933,Килеер,60.95,119.3,247,14
24944,Олекминск,60.4,120.42,225,14
24951,Исить,60.82,125.32,123,14
24959,Якутск,62.0,129.67,98,14
24966,Усть-Мая,60.35,134.45,171,14
24967,Тегюлтя,60.47,130.0,173,14
24982,Уега,60.72,142.78,396,27
25034,Бухта Амбарчик,69.62,162.3,24,14
25042,Им. В.С.Сидорова (Айон),69.93,167.98,13,87
25062,Мыс Биллингса,69.88,175.77,2,87
25138,Островное,68.12,164.17,98,87
25173,Мыс Шмидта,68.9,-179.63,2,87
25206,Среднеколымск,67.45,153.72,20,14
25248,Илирней,67.25,167.97,352,87
25282,Мыс Ванкарем,67.83,-175.83,3,87
25325,Усть-Олой,66.55,159.42,127,87
25356,Эньмувеем,66.38,173.33,78,87
25372,Амгуэма 87км,67.02,-178.93,139,87
25378,Эгвекинот,66.35,-179.12,18,87
25399,Уэлен,66.17,-169.83,5,87
25400,Зырянка,65.73,150.9,41,14
25428,Омолон,65.23,160.53,260,87
25503,Коркодон,64.75,153.97,97,49
25538,Верхне-Пенжино,64.22,164.23,324,41
25551,Марково,64.68,170.42,25,87
25563,Анадырь,64.78,177.57,64,87
25594,Бухта Провидения,64.38,-173.23,25,87
25621,Кедон,64.0,158.92,682,49
25656,Березово,63.45,172.7,200,87
25677,Беринговская,63.02,179.28,3,87
25703,Сеймчан,62.92,152.42,206,49
25705,Среднекан,62.45,152.32,264,49
25744,Каменское,62.48,166.22,35,41
25767,Хатырка,62.05,175.2,11,87
25777,Бухта Гавриила,62.42,179.13,4,87
25912,Ола,59.57,151.28,4,49
25913,Магадан (Нагаево),59.55,150.78,115,49
25916,Алевина мыс,58.83,151.35,64,49
25922,Шелихова,60.72,155.88,34,49
25927,Брохово,59.65,154.27,7,49
25932,Тайгонос,60.68,160.4,45,49
25954,Корф,60.35,166.0,2,41
25956,Апука,60.43,169.67,3,41
26063,Санкт-Петербург,59.97,30.3,3,78
26069,Белогорка,59.35,30.13,88,47
26094,Тихвин,59.65,33.55,61,47
26157,Гдов,58.73,27.83,39,60
26258,Псков ,57.82,28.33,43,60
26275,Старая Русса,58.02,31.32,24,53
26298,Бологое ,57.9,34.05,186,69
26359,Пушкинские Горы,57.02,28.9,108,60
26477,Великие Луки,56.35,30.62,104,60
26479,Торопец,56.48,31.63,187,69
26499,Старица,56.5,34.93,184,69
26614,Советск,55.08,21.93,37,39
26701,Балтийск,54.65,19.88,4,39
26702,Калининград ,54.7,20.62,20,39
26706,Железнодорожный,54.37,21.3,49,39
26781,Смоленск,54.75,32.07,236,67
26898,Брянск ,53.25,34.32,214,32
26976,Красная Гора,53.02,31.6,147,32
26997,Трубчевск,52.58,33.77,177,32
27008,Бабаево,59.4,35.93,136,35
27037,Вологда,59.32,39.93,125,35
27051,Тотьма,59.88,42.75,134,35
27066,Никольск,59.53,45.47,142,35
27083,Опарино,59.85,48.28,179,43
27164,Кологрив,58.82,44.32,150,44
27208,Максатиха,57.8,35.9,140,69
27225,Рыбинск,58.1,38.68,104,76
27277,Ветлуга,57.85,45.77,133,52
27296,Кумены,58.1,49.92,175,43
27333,Кострома,57.73,40.78,125,44
27385,Яранск,57.37,47.92,103,43
27425,Переславль-Залесский,56.72,38.83,174,76
27459,Нижний Новгород,56.27,44.0,161,52
27485,Йошкар-Ола,56.63,47.77,116,12
27509,Можайск,55.52,36.0,184,50
27595,Казань,55.73,49.2,116,16
27612,Москва ВДНХ,55.83,37.62,147,77
27625,Коломна,55.13,38.73,112,50
27648,Елатьма,54.97,41.75,132,62
27665,Лукоянов ,55.03,44.5,217,52
27675,Порецкое,55.18,46.33,136,21
27707,Сухиничи,54.08,35.35,237,40
27730,Рязань,54.58,39.7,155,62
27756,Краснослободск,54.43,43.77,185,13
27814,Плавск,53.65,37.23,240,71
